name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,m2_slots,sata_ports
Gigabyte B760M GAMING X AX DDR4,229.99,LGA1700,Micro ATX,128,4,Black,DDR4,2,4
Asus ROG MAXIMUS X HERO,229.99,LGA1151,ATX,64,4,Black,DDR4,2,4
Asus ROG STRIX B365-F GAMING,229.99,LGA1151,ATX,64,4,Black,DDR4,2,4
Asus PRIME Z790-V AX,229.99,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
Asus rog-strix-x870e-h-gaming-wifi7-hatsune-miku-edition,229.99,AM5,ATX,256,4,Black / Blue,DDR5,2,4
Asus PRIME Z790M-PLUS D4,229.99,LGA1700,Micro ATX,128,4,Black / Silver,DDR4,2,4
Asus PRIME X670-P,229.99,AM5,ATX,192,4,Silver / Black,DDR5,2,4
MSI Z87-G45 Gaming,229.99,LGA1150,ATX,32,4,Brown / Black,DDR4,2,4
ASRock B760M PG Riptide,280.87,LGA1700,Micro ATX,192,4,Black / Blue,DDR4,2,4
Supermicro X11SCL-LN4F,526.95,LGA1151,Micro ATX,128,4,Green,DDR4,2,4
Biostar H61MGC,229.99,LGA1155,Micro ATX,16,2,Black / Red,DDR4,2,4
MSI PRO B650M-E,229.99,AM5,Micro ATX,96,2,Black,DDR5,2,4
ASRock B860M LiveMixer WiFi,169.99,LGA1851,Micro ATX,256,4,Silver / Black,DDR5,2,4
MSI B150A Gaming Pro,229.99,LGA1151,ATX,64,4,Black / Red,DDR4,2,4
Gigabyte Z690 UD DDR4,229.99,LGA1700,ATX,128,4,Black,DDR4,2,4
ASRock Z690 Pro RS,229.99,LGA1700,ATX,128,4,Silver / Black,DDR4,2,4
Asus A68HM-Plus,229.99,FM2+,Micro ATX,32,2,Black,DDR4,2,4
Asus TUF Z370 Plus Gaming,229.99,LGA1151,ATX,64,4,Black / Yellow,DDR4,2,4
Asus PRIME B460-PLUS,229.99,LGA1200,ATX,128,4,Silver / Black,DDR4,2,4
ASRock Z590-C/ac,229.99,LGA1200,ATX,128,4,Black,DDR4,2,4
ASRock Z790-C,229.99,LGA1700,ATX,192,4,Black,DDR4,2,4
Gigabyte B650M C V2,229.99,AM5,Micro ATX,192,4,Black / Gray,DDR5,2,4
Gigabyte B860M EAGLE V2,186.48,LGA1851,Micro ATX,128,2,Silver / Black,DDR5,2,4
ASRock H670M Pro RS,165.57,LGA1700,Micro ATX,128,4,Gray / Black,DDR4,2,4
MSI B450M BAZOOKA V2,229.99,AM4,Micro ATX,64,4,Black,DDR4,2,4
Gigabyte GA-AB350M-Gaming 3,229.99,AM4,Micro ATX,64,4,Black / Red,DDR4,2,4
ASRock H610M-HDV/M.2,229.99,LGA1700,Micro ATX,64,2,Gray / Black,DDR4,2,4
Gigabyte X870M AORUS ELITE WIFI7 ICE,229.99,AM5,Micro ATX,256,4,White / Silver,DDR5,2,4
ASRock Z890 Pro RS,197.81,LGA1851,ATX,256,4,Silver / Black,DDR5,2,4
ASRock X570D4U-2L2T,419.0,AM4,Micro ATX,128,4,Green / Silver,DDR4,2,4
Gigabyte GA-B250-HD3,240.0,LGA1151,ATX,64,4,Black / Gold,DDR4,2,4
Gigabyte GA-B150M-D3H,229.99,LGA1151,Micro ATX,64,4,Black / Silver,DDR4,2,4
ASRock Z690 PG Riptide,229.99,LGA1700,ATX,128,4,Black / Silver,DDR4,2,4
Gigabyte B650M AORUS PRO AX,229.99,AM5,Micro ATX,192,4,Black,DDR5,2,4
ASRock B365M-HDV,229.99,LGA1151,Micro ATX,32,2,Black / Silver,DDR4,2,4
MSI MPG Z590 GAMING PLUS,433.89,LGA1200,ATX,128,4,Black,DDR4,2,4
Asus TUF GAMING B450M-PRO II,229.99,AM4,Micro ATX,128,4,Black / Yellow,DDR4,2,4
Asus ROG STRIX B560-A GAMING WIFI,229.99,LGA1200,ATX,128,4,Black / Silver,DDR4,2,4
Asus PRIME H310M-R R2.0,229.99,LGA1151,Micro ATX,32,2,Black,DDR4,2,4
Gigabyte Z490M,229.99,LGA1200,Micro ATX,128,4,Black / Silver,DDR4,2,4
ASRock B450M Steel Legend Pink,229.99,AM4,Micro ATX,128,4,Black / Pink,DDR4,2,4
Gigabyte GA-970A-DS3P,229.99,AM3+,ATX,32,4,Black / Gray,DDR4,2,4
Asus STRIX X370-F GAMING,229.99,AM4,ATX,64,4,Black,DDR4,2,4
MSI MPG B760I EDGE WIFI DDR4,229.99,LGA1700,Mini ITX,64,2,Silver / Black,DDR4,2,4
Asus ROG Crosshair VIII Formula,630.0,AM4,ATX,128,4,Black,DDR4,2,4
Asus Z170-AR,361.98,LGA1151,ATX,64,4,Black / White,DDR4,2,4
EVGA P55V,124.69,LGA1156,Micro ATX,16,4,Black / Gray,DDR4,2,4
ASRock AB350 Gaming-ITX/ac,229.99,AM4,Mini ITX,32,2,Black / Red,DDR4,2,4
Asus PRIME Z690-P,229.99,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
Gigabyte Z590 AORUS PRO AX,410.0,LGA1200,ATX,128,4,Black,DDR4,2,4
MSI Big Bang-Marshal (B3),229.99,LGA1155,XL ATX,32,4,Black / Blue,DDR4,2,4
Asus Z10PE-D8 WS,229.99,2 x LGA2011-3,SSI EEB,512,8,Black / Gold,DDR4,2,4
Gigabyte GA-AB350-Gaming,229.99,AM4,ATX,64,4,Black / Red,DDR4,2,4
MSI MPG Z690 EDGE WIFI,229.99,LGA1700,ATX,192,4,Black,DDR4,2,4
Asus PRO Q570M-C/CSM,75.0,LGA1200,Micro ATX,128,4,Green / Black,DDR4,2,4
MSI X470 GAMING PRO CARBON,399.0,AM4,ATX,64,4,Black / Silver,DDR4,2,4
Gigabyte GA-H61M-DS2,229.99,LGA1155,Micro ATX,16,2,Blue / White,DDR4,2,4
Gigabyte MW50-SV0,229.99,LGA2011-3,ATX,256,8,Blue / Black,DDR4,2,4
MSI B450M BAZOOKA,229.99,AM4,Micro ATX,64,4,Black / Silver,DDR4,2,4
MSI B560M-A PRO,229.99,LGA1200,Micro ATX,64,2,Black,DDR4,2,4
Asus PRIME B850M-K,229.99,AM5,Micro ATX,128,2,Black / Silver,DDR5,2,4
MSI PRO B840M-P WIFI6E,229.99,AM5,Micro ATX,256,4,Black / Silver,DDR5,2,4
Asus Pro B650M-CT-CSM,149.99,AM5,Micro ATX,192,4,Green / Black,DDR5,2,4
Biostar H610MH D5,229.99,LGA1700,Micro ATX,96,2,Black / Silver,DDR4,2,4
Asus Pro B660M-C D4-CSM,129.99,LGA1700,Micro ATX,128,4,Green / Black,DDR4,2,4
Asus ProArt B550-CREATOR,239.99,AM4,ATX,128,4,Black,DDR4,2,4
Gigabyte H410M S2H V2,119.9,LGA1200,Micro ATX,64,2,Black / Gray,DDR4,2,4
MSI MPG Z390I GAMING EDGE AC,229.99,LGA1151,Mini ITX,64,2,Black / Silver,DDR4,2,4
Gigabyte B660 GAMING X AX DDR4,229.99,LGA1700,ATX,128,4,Black,DDR4,2,4
Asus X99-A,229.99,LGA2011-3,ATX,64,8,Black / Silver,DDR4,2,4
MSI B360M MORTAR,229.99,LGA1151,Micro ATX,64,4,Black,DDR4,2,4
Gigabyte Z490 AORUS ELITE,475.49,LGA1200,ATX,128,4,Black / Silver,DDR4,2,4
ASRock B760M PG Lightning Wifi,229.99,LGA1700,Micro ATX,192,4,Black,DDR4,2,4
Gigabyte B550 AORUS ELITE AX,229.99,AM4,ATX,128,4,Black,DDR4,2,4
MSI MEG Z390 ACE,406.64,LGA1151,ATX,128,4,Black / Silver,DDR4,2,4
Biostar B550MH,229.99,AM4,Micro ATX,64,2,Black,DDR4,2,4
Asus PRIME B760M-A-CSM,229.99,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
Asus ROG MAXIMUS Z790 HERO EVA-02 EDITION,229.99,LGA1700,ATX,192,4,Red / Black,DDR4,2,4
Gigabyte B460M DS3H,229.99,LGA1200,Micro ATX,128,4,Black / Silver,DDR4,2,4
Biostar A520MH,229.99,AM4,Micro ATX,64,2,Black / Silver,DDR4,2,4
Gigabyte B560M AORUS PRO AX,229.99,LGA1200,Micro ATX,128,4,Black / Silver,DDR4,2,4
MSI B850 GAMING PLUS WIFI6E,263.27,AM5,ATX,256,4,Silver,DDR5,2,4
ASRock X299 Steel Legend,199.99,LGA2066,ATX,256,8,Silver / Black,DDR4,2,4
Asus Q170M-C/CSM,229.99,LGA1151,Micro ATX,64,4,Black / Gold,DDR4,2,4
MSI B365M-PRO-VH,229.99,LGA1151,Micro ATX,32,2,Black,DDR4,2,4
Asus ROG STRIX Z490-F GAMING,229.99,LGA1200,ATX,128,4,Black,DDR4,2,4
Gigabyte B550 AORUS PRO,229.99,AM4,ATX,128,4,Black / Orange,DDR4,2,4
MSI MPG Z590 GAMING EDGE WIFI,229.99,LGA1200,ATX,128,4,Black,DDR4,2,4
Gigabyte Z690 AORUS MASTER,229.99,LGA1700,EATX,192,4,Black,DDR4,2,4
Gigabyte B760 GAMING X AX DDR4,263.83,LGA1700,ATX,128,4,Black,DDR4,2,4
ASRock B760M PG Lightning,229.99,LGA1700,Micro ATX,192,4,Black,DDR4,2,4
Asus PRIME A320M-A,229.99,AM4,Micro ATX,64,4,Black / Gray,DDR4,2,4
Asus ROG STRIX Z490-I GAMING,499.0,LGA1200,Mini ITX,64,2,Black,DDR4,2,4
MSI B350M MORTAR,229.99,AM4,Micro ATX,64,4,Black / Red,DDR4,2,4
Asus ROG ZENITH EXTREME,229.99,sTR4,EATX,128,8,Black / Silver,DDR4,2,4
Asus B85M-G,229.99,LGA1150,Micro ATX,32,4,Black,DDR4,2,4
ASRock B760M Pro-A D4 WiFi,229.99,LGA1700,Micro ATX,128,4,White / Black,DDR4,2,4
Gigabyte B550M AORUS PRO AX,229.99,AM4,Micro ATX,128,4,Black / Silver,DDR4,2,4
Asus Sabertooth Z87,229.99,LGA1150,ATX,32,4,Brown / Black,DDR4,2,4
Gigabyte GA-X99M-GAMING 5,229.99,LGA2011-3,Micro ATX,32,4,Black / Red,DDR4,2,4
Asus ROG Strix Z370-I Gaming,229.99,LGA1151,Mini ITX,32,2,Black / Silver,DDR4,2,4
Gigabyte GA-78LMT-USB3 R2,229.99,AM3+,Micro ATX,32,4,Black,DDR4,2,4
ASRock B560M-HDV,229.99,LGA1200,Micro ATX,64,2,Silver / Black,DDR4,2,4
MSI PRO B760M-E,229.99,LGA1700,Micro ATX,96,2,Black,DDR4,2,4
MSI Z170A PC MATE,339.0,LGA1151,ATX,64,4,Black,DDR4,2,4
ASRock H81M-HDS R2.0,151.16,LGA1150,Micro ATX,16,2,Black / Silver,DDR4,2,4
Gigabyte B660M AORUS Pro AX DDR4,229.99,LGA1700,Micro ATX,128,4,Black,DDR4,2,4
Asus P5QProTurbo,229.99,LGA775,ATX,16,4,Multicolor,DDR4,2,4
Gigabyte GA-AX370M-DS3H,229.99,AM4,Micro ATX,64,4,Black,DDR4,2,4
MSI X470 GAMING PRO,229.99,AM4,ATX,64,4,Black / Red,DDR4,2,4
Gigabyte Z590 AORUS MASTER,407.37,LGA1200,ATX,128,4,Black,DDR4,2,4
ASRock X299E-ITX/ac,480.1,LGA2066,Mini ITX,128,4,Black,DDR4,2,4
Asus TUF GAMING H770-PRO WIFI,347.15,LGA1700,ATX,192,4,Black,DDR4,2,4
Gigabyte B650E A PRO X USB4,229.99,AM5,ATX,256,4,Black,DDR5,2,4
ASRock H97M Pro4,229.99,LGA1150,Micro ATX,32,4,Black / Blue,DDR4,2,4
MSI Z170A GAMING M7,229.99,LGA1151,ATX,64,4,Black / Red,DDR4,2,4
Asus TUF B360M-PLUS GAMING,229.99,LGA1151,Micro ATX,64,4,Silver / Orange,DDR4,2,4
Asus EX-A320M-GAMING,229.99,AM4,Micro ATX,64,4,Red / Black,DDR4,2,4
Supermicro MBD-X10SRL-F-O,700.0,LGA2011-3 Narrow,ATX,1024,8,Black / Green,DDR4,2,4
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,ATX,128,4,Black,DDR4,2,4
Gigabyte X570 AORUS XTREME,995.0,AM4,EATX,128,4,Black / Silver,DDR4,2,4
Asus PRIME A520M-E,159.9,AM4,Micro ATX,64,2,Black,DDR4,2,4
MSI H110M Pro-VD,229.99,LGA1151,Micro ATX,32,2,Black / Silver,DDR4,2,4
MSI B250M PRO-VD,229.99,LGA1151,Micro ATX,32,2,Brown / Black,DDR4,2,4
MSI Creator TRX40,229.99,sTRX4,EATX,256,8,Black / Silver,DDR4,2,4
Gigabyte B560M DS3H,229.99,LGA1200,Micro ATX,128,4,Black,DDR4,2,4
MSI B550M PRO,229.99,AM4,Micro ATX,64,2,Black,DDR4,2,4
Biostar B660GTA,190.44,LGA1700,ATX,128,4,Blue / Black,DDR4,2,4
ASRock Z690 PG Velocita,229.99,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
MAXSUN Challenger B760ITX D5 WIFI,229.99,LGA1700,Mini ITX,96,2,Black / White,DDR4,2,4
ASRock AB350M,229.99,AM4,Micro ATX,32,2,Black / White,DDR4,2,4
Asus PROART B760-CREATOR D4,285.62,LGA1700,ATX,128,4,Black / Copper,DDR4,2,4
Asus ROG STRIX B660-F GAMING WIFI,299.0,LGA1700,ATX,192,4,Black,DDR4,2,4
ASRock G41M-GS,62.86,LGA775,Micro ATX,8,2,Blue / White,DDR4,2,4
MSI H310M PRO-M2 PLUS,229.99,LGA1151,Micro ATX,32,2,Black,DDR4,2,4
MSI A320M PRO-VH,229.99,AM4,Micro ATX,64,2,Brown / Black,DDR4,2,4
MSI H370 GAMING PRO CARBON,229.99,LGA1151,ATX,64,4,Black,DDR4,2,4
Asus H170-PRO,229.99,LGA1151,ATX,64,4,Black / Gold,DDR4,2,4
ASRock X370 Taichi,229.99,AM4,ATX,64,4,Black / White,DDR4,2,4
MSI B350 GAMING PLUS,229.99,AM4,ATX,64,4,Black / Red,DDR4,2,4
Asus PRIME B560-PLUS AC-HES,229.99,LGA1200,ATX,128,4,Silver / Black,DDR4,2,4
ASRock Z690 Extreme,229.99,LGA1700,ATX,128,4,Black / Silver,DDR4,2,4
Asus Pro WS X570-ACE,579.99,AM4,ATX,128,4,Black,DDR4,2,4
Gigabyte B760M GAMING WIFI6 PLUS GEN5,229.99,LGA1700,Micro ATX,128,2,Black / Silver,DDR4,2,4
Asus TUF GAMING A520M-PLUS,229.99,AM4,Micro ATX,128,4,Black,DDR4,2,4
Asus M5A78L-M PLUS/USB3,229.99,AM3+,Micro ATX,32,4,Black / Blue,DDR4,2,4
Asus PRIME H410M-A,229.99,LGA1200,Micro ATX,64,2,Black,DDR4,2,4
Asus ROG STRIX B560-G GAMING WIFI,229.99,LGA1200,Micro ATX,128,4,Black / Silver,DDR4,2,4
Gigabyte B860M GAMING X WIFI6E,169.99,LGA1851,Micro ATX,256,4,Silver / Black,DDR5,2,4
Gigabyte GA-AX370-Gaming K5,236.49,AM4,ATX,64,4,Black / Orange,DDR4,2,4
MSI PRO B860-P,240.0,LGA1851,ATX,256,4,Silver / Black,DDR5,2,4
Supermicro MBD-X10DRI-O,997.0,2 x LGA2011-3 Narrow,EATX,1024,16,Black / Green,DDR4,2,4
Gigabyte X570 AORUS PRO,229.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
ASRock B460M Pro4/ac,229.99,LGA1200,Micro ATX,128,4,Silver / Black,DDR4,2,4
MSI A520M PRO-VH,229.99,AM4,Micro ATX,64,2,Black,DDR4,2,4
Gigabyte Z690 AORUS PRO,399.99,LGA1700,ATX,192,4,Black,DDR4,2,4
MSI Z270 SLI PLUS,406.49,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
ASRock Z690 Steel Legend,229.99,LGA1700,ATX,128,4,Silver / Black,DDR4,2,4
ASRock Z790 Taichi Lite,229.99,LGA1700,EATX,192,4,Black / Gray,DDR4,2,4
MSI A320M PRO-VH PLUS,229.99,AM4,Micro ATX,32,2,Brown / Black,DDR4,2,4
Asus PRIME B250M-C-CSM,229.99,LGA1151,Micro ATX,64,4,Green / Black,DDR4,2,4
Asus ROG MAXIMUS X HERO (WI-FI AC),229.99,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
Asus TUF Z390-PLUS GAMING,229.99,LGA1151,ATX,128,4,Black / Gold,DDR4,2,4
ASRock X570 PG Velocita,229.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
Asus Prime Z590-P WiFi,229.99,LGA1200,ATX,128,4,Black / Silver,DDR4,2,4
Asus ROG MAXIMUS XI FORMULA,589.0,LGA1151,ATX,128,4,Black,DDR4,2,4
MSI PRO B660M-E DDR4,229.99,LGA1700,Micro ATX,64,2,Black / Silver,DDR4,2,4
ASRock H310CM-DVS,229.99,LGA1151,Micro ATX,32,2,Black,DDR4,2,4
Gigabyte GA-H110M-H,229.99,LGA1151,Micro ATX,32,2,Black / Silver,DDR4,2,4
Asus ROG Crosshair VII Hero (Wi-Fi),229.99,AM4,ATX,64,4,Black,DDR4,2,4
Asus ROG STRIX B450-E GAMING,229.99,AM4,ATX,64,4,Black,DDR4,2,4
ASRock X399D8A-2T,229.99,sTR4,ATX,256,8,Green / Blue,DDR4,2,4
Asus TUF GAMING Z690-PLUS D4,229.99,LGA1700,ATX,128,4,Black / Silver,DDR4,2,4
Gigabyte B760M GAMING DDR4,229.99,LGA1700,Micro ATX,64,2,Black / Red,DDR4,2,4
Gigabyte Z490 GAMING X,298.0,LGA1200,ATX,128,4,Black / Silver,DDR4,2,4
Gigabyte B660I AORUS Pro DDR4,229.99,LGA1700,Mini ITX,64,2,Black,DDR4,2,4
MSI H110M Gaming,229.99,LGA1151,Micro ATX,32,2,Black / Red,DDR4,2,4
Gigabyte Z490 VISION G,229.99,LGA1200,ATX,128,4,White / Black,DDR4,2,4
MSI Z370 GAMING PRO CARBON,391.49,LGA1151,ATX,64,4,Black,DDR4,2,4
ASRock B550 Taichi Razer Edition,229.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
Asus ROG MAXIMUS VIII HERO ALPHA,229.99,LGA1151,ATX,64,4,Black / Red,DDR4,2,4
MSI B250 PC MATE,229.99,LGA1151,ATX,64,4,Black / White,DDR4,2,4
ASRock X399 Taichi,229.99,sTR4,ATX,128,8,Black / Silver,DDR4,2,4
Asus TUF GAMING B460M-PLUS,229.99,LGA1200,Micro ATX,128,4,Black / Gold,DDR4,2,4
Gigabyte H410M S2 V3,229.99,LGA1200,Micro ATX,64,2,Black / Gray,DDR4,2,4
ASRock B760 Pro RS/D4 WiFi White,229.99,LGA1700,ATX,128,4,White,DDR4,2,4
Asus PRIME A320M-F,229.99,AM4,Micro ATX,64,2,Black / Silver,DDR4,2,4
Biostar B650MP-E PRO,229.99,AM5,Micro ATX,192,4,Black / Silver,DDR5,2,4
ASRock Z690 Steel Legend WiFi 6E/D5,229.99,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
ASRock P43DE,70.7,LGA775,ATX,16,4,Multicolor,DDR4,2,4
ASRock B550 Taichi,229.99,AM4,ATX,128,4,Gold / Black,DDR4,2,4
Asus P8Z77-V LX,229.99,LGA1155,ATX,32,4,Black / Blue,DDR4,2,4
ASRock B250M-HDV,229.99,LGA1151,Micro ATX,32,2,Black / White,DDR4,2,4
ASRock B560 Pro4,229.99,LGA1200,ATX,128,4,Silver / Black,DDR4,2,4
MSI MEG X570S ACE MAX,229.99,AM4,ATX,128,4,Black,DDR4,2,4
Asus PRIME B650M-A,229.99,AM5,Micro ATX,128,4,Silver / Black,DDR5,2,4
MSI B760M GAMING PLUS WIFI DDR4,229.99,LGA1700,Micro ATX,128,4,Black / Silver,DDR4,2,4
Asus Pro B560M-CT/CSM,159.0,LGA1200,Micro ATX,128,4,Green,DDR4,2,4
MSI MEG Z690 UNIFY-X,778.88,LGA1700,ATX,96,2,Black / Silver,DDR4,2,4
ASRock B550 PG Velocita,260.37,AM4,ATX,128,4,Silver / Black,DDR4,2,4
MSI MAG B760M MORTAR MAX WIFI DDR4,229.99,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
Asus H81M-C/CSM,229.99,LGA1150,Micro ATX,16,2,Black / Gold,DDR4,2,4
Asus ASUS B85M-E,229.99,LGA1150,Micro ATX,32,4,Black / Gold,DDR4,2,4
Gigabyte B550M AORUS PRO,229.99,AM4,Micro ATX,128,4,Black / Silver,DDR4,2,4
Asus TUF GAMING B550M-ZAKU (WI-FI),229.99,AM4,Micro ATX,128,4,Black / Red,DDR4,2,4
Asus PRIME B760M-A AX D4,229.99,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
Gigabyte B760M C V2 (rev. 1.0),229.99,LGA1700,Micro ATX,192,4,Black,DDR4,2,4
Asus ROG STRIX B460-H GAMING,229.99,LGA1200,ATX,128,4,Black / Red,DDR4,2,4
ASRock B860M Pro RS,149.99,LGA1851,Micro ATX,256,4,Silver / Black,DDR5,2,4
Asus PRIME A320M-E,237.0,AM4,Micro ATX,64,2,Black / Silver,DDR4,2,4
Asus PRIME H610M-K ARGB,229.99,LGA1700,Micro ATX,96,2,Black,DDR4,2,4
ASRock EP2C602-4L/D16,229.99,2 x LGA2011,SSI EEB,512,16,Blue / White,DDR4,2,4
Asus Z170-P,229.99,LGA1151,ATX,64,4,Black / Gold,DDR4,2,4
Gigabyte GA-Z170X-Gaming 7,229.99,LGA1151,ATX,64,4,Black / Red,DDR4,2,4
Asus H110-PLUS,229.99,LGA1151,ATX,32,2,Black / Gold,DDR4,2,4
MSI B250M PRO-VDH,229.99,LGA1151,Micro ATX,64,4,Brown / Black,DDR4,2,4
ASRock X370 KILLER SLI/ac,229.99,AM4,ATX,64,4,Black / White,DDR4,2,4
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),229.99,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
Gigabyte B360M D3H,229.99,LGA1151,Micro ATX,64,4,Silver / Black,DDR4,2,4
MSI X470 GAMING PRO MAX,229.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
MSI PRO H510M-B II,229.99,LGA1200,Micro ATX,64,2,Black,DDR4,2,4
ASRock A620AI WiFi,229.99,AM5,Mini ITX,128,2,Black,DDR5,2,4
MSI MAG B460 TOMAHAWK,278.99,LGA1200,ATX,128,4,Black / Silver,DDR4,2,4
ASRock B660M Steel Legend,229.99,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
ASRock X79 Extreme7,284.61,LGA2011,ATX,48,6,Black / Silver,DDR4,2,4
MSI MAG A520M VECTOR WIFI,176.8,AM4,Micro ATX,64,2,Black,DDR4,2,4
Gigabyte A520M AORUS ELITE,229.99,AM4,Micro ATX,128,4,Black / Orange,DDR4,2,4
Asus M5A99FX PRO R2.0,229.99,AM3+,ATX,32,4,Black / Blue,DDR4,2,4
Asus Z170-E,229.99,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
Asus PRIME Z370-A II,229.99,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
MSI H510M PRO,229.99,LGA1200,Micro ATX,64,2,Beige,DDR4,2,4
Biostar A520MHP,229.99,AM4,Micro ATX,64,2,Black,DDR4,2,4
ASRock H610M-HVS,110.91,LGA1700,Micro ATX,64,2,Gray / Black,DDR4,2,4
Asus ROG STRIX B760-G GAMING WIFI D4,229.99,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
Asus PRIME H270-PLUS-CSM,229.99,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
Gigabyte B360 AORUS Gaming 3 WIFI,229.99,LGA1151,ATX,64,4,Black / Orange,DDR4,2,4
Gigabyte Z390 M GAMING,229.99,LGA1151,Micro ATX,128,4,Black / Red,DDR4,2,4
Asus Pro WS X299 SAGE II,229.99,LGA2066,SSI CEB,256,8,Black / Silver,DDR4,2,4
Asus ROG STRIX Z590-F GAMING WIFI,229.99,LGA1200,ATX,128,4,Black / Silver,DDR4,2,4
ASRock B860M-H2,119.99,LGA1851,Micro ATX,128,2,Black / Silver,DDR5,2,4
Asus Pro Q670M-C-CSM,199.99,LGA1700,Micro ATX,128,4,Green / Black,DDR4,2,4
Intel DB65ALB3,229.99,LGA1155,Micro ATX,32,4,Black,DDR4,2,4
Gigabyte GA-Z97X-Gaming 3,229.99,LGA1150,ATX,32,4,Black / Red,DDR4,2,4
Asus PRIME B650M-A AX,229.99,AM5,Micro ATX,128,4,Black / Silver,DDR5,2,4
MSI MAG X570S TORPEDO MAX,229.99,AM4,ATX,128,4,Blue / Black,DDR4,2,4
Asus P8H61-M LX3 R2.0,229.99,LGA1155,Micro ATX,16,2,Black / Blue,DDR4,2,4
ASRock Fatal1ty X99M Killer,229.99,LGA2011-3,Micro ATX,64,4,Black / Red,DDR4,2,4
ASRock H110M-HDV,229.99,LGA1151,Micro ATX,32,2,Black / Orange,DDR4,2,4
Gigabyte GA-AB350M-D3H,229.99,AM4,Micro ATX,64,4,Black / Gray,DDR4,2,4
Asus ROG Strix Z370-H Gaming,229.99,LGA1151,ATX,64,4,Black / Red,DDR4,2,4
Gigabyte X470 AORUS GAMING 5 WIFI,229.99,AM4,ATX,64,4,Black / Orange,DDR4,2,4
ASRock B365 Pro4,229.99,LGA1151,ATX,64,4,Black / Silver,DDR4,2,4
Gigabyte Z790 AORUS ELITE AX-W,585.41,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
Gigabyte Z690 AORUS ULTRA,357.91,LGA1700,ATX,192,4,Black,DDR4,2,4
Gigabyte B860 DS3H,225.05,LGA1851,ATX,256,4,Silver / Black,DDR5,2,4
ASRock X570S PG Riptide,229.99,AM4,ATX,128,4,Black,DDR4,2,4
Asus ROG STRIX Z690-A GAMING WIFI,229.99,LGA1700,ATX,192,4,Black / Silver,DDR4,2,4
Gigabyte Z390 DESIGNARE,413.0,LGA1151,ATX,128,4,Black / Silver,DDR4,2,4
Asus PRIME H610M-D D4,139.4,LGA1700,Micro ATX,64,2,Silver / Black,DDR4,2,4
MSI B450M PRO-VDH PLUS,229.99,AM4,Micro ATX,128,4,Black,DDR4,2,4
Gigabyte GA-Z77X-UD3H,229.99,LGA1155,ATX,32,4,Black / Blue,DDR4,2,4
Asus Sabertooth 990FX R2.0,229.99,AM3+,ATX,32,4,Brown / Black,DDR4,2,4
ASRock X470 Taichi,229.99,AM4,ATX,64,4,Black / Silver,DDR4,2,4
MSI PRO B760M-B,229.99,LGA1700,Micro ATX,96,2,Black,DDR4,2,4
Asus TUF GAMING B860M-PLUS,244.56,LGA1851,Micro ATX,256,4,Black / Silver,DDR5,2,4
ASRock Z690 Phantom Gaming-ITX/TB4,229.99,LGA1700,Mini ITX,96,2,Black / Red,DDR4,2,4
MSI Z370 SLI PLUS,381.49,LGA1151,ATX,64,4,Black / Gray,DDR4,2,4
Gigabyte GA-H110-D3A,229.99,LGA1151,ATX,32,2,Black,DDR4,2,4
ASRock H670M-ITX/ax,229.99,LGA1700,Mini ITX,64,2,Silver / Black,DDR4,2,4
Gigabyte GA-H110M-S2H,229.99,LGA1151,Micro ATX,32,2,Black,DDR4,2,4
Asus ROG STRIX Z270i GAMING,229.99,LGA1151,Mini ITX,32,2,Black / Silver,DDR4,2,4
Gigabyte X470 AORUS GAMING 7 WIFI,229.99,AM4,ATX,64,4,Black / Orange,DDR4,2,4
Asus ROG MAXIMUS XI HERO,229.99,LGA1151,ATX,128,4,Black / Silver,DDR4,2,4
ASRock A320M-DVS R4.0,229.99,AM4,Micro ATX,32,2,Black / Silver,DDR4,2,4
Asus TUF GAMING B460-PLUS,229.99,LGA1200,ATX,128,4,Black / Gold,DDR4,2,4
ASRock B660M Phantom Gaming 4,229.99,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
MSI B760M GAMING WIFI,229.99,LGA1700,Micro ATX,96,2,Silver / Black,DDR4,2,4
