name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,m2_slots,sata_ports
Gigabyte Z390 GAMING X,258.0,LGA1151,ATX,128,4,Black / Red,DDR4,2,4
Gigabyte X570SI AORUS PRO AX,229.99,AM4,Mini ITX,64,2,Black / Silver,DDR4,2,4
Asus PRIME B650M-A AX6 II,229.99,AM5,Micro ATX,192,4,Silver / Black,DDR5,2,4
Asus Prime B760M-K,229.99,LGA1700,Micro ATX,96,2,Silver / Black,DDR4,2,4
ASRock Z890M Riptide WiFi,241.1,LGA1851,Micro ATX,256,4,Black / Silver,DDR5,2,4
MSI PRO H610M-E,151.17,LGA1700,Micro ATX,96,2,Black,DDR4,2,4
Asus PRIME B360M-A,229.99,LGA1151,Micro ATX,64,4,Silver / Black,DDR4,2,4
Gigabyte Z790 D,239.06,LGA1700,ATX,192,4,Black / Gray,DDR4,2,4
MSI B450M PRO-M2 MAX,229.99,AM4,Micro ATX,32,2,Black,DDR4,2,4
ASRock B760I Lightning WiFi,327.99,LGA1700,Mini ITX,96,2,Black,DDR4,2,4
Asus TUF GAMING B760M-PLUS II,241.57,LGA1700,Micro ATX,192,4,Black,DDR4,2,4
Asus P5QL-VM DO/CSM,229.99,LGA775,Micro ATX,16,4,Black / Yellow,DDR4,2,4
Asus PRIME A620M-A-CSM,129.99,AM5,Micro ATX,192,4,Silver / Black,DDR5,2,4
ASRock B860 Pro RS,149.99,LGA1851,ATX,256,4,Silver / Black,DDR5,2,4
Asus TUF GAMING B760M-PLUS WIFI D4,261.87,LGA1700,Micro ATX,128,4,Black / Orange,DDR4,2,4
Gigabyte B760M GAMING X DDR4,229.99,LGA1700,Micro ATX,128,4,Black,DDR4,2,4
