name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
SHARKOON AK6 RGB,124.99,ATX Mid Tower,Black,Tempered Glass,47.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master NR200P V3,139.99,Mini ITX Desktop,Black,Acrylic,20.4,Mini ITX,300,140,SFX
Thermaltake The Tower 600,184.99,ATX Mid Tower,Green / Black,Tempered Glass,66.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li LANCOOL 216 RGB w/Controller,132.99,ATX Mid Tower,Black,Tinted Tempered Glass,55.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Azza Sanctum,349.99,ATX Desktop,Silver / Black,Tempered Glass,76.9,Mini ITX,300,140,SFX
Thermaltake View 91,124.99,ATX Full Tower,Black,Tempered Glass,153.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Segotep T3 Aeolus,71.48,ATX Mid Tower,White,Tempered Glass,54.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
GAMDIAS TALOS E3 WH,59.99,ATX Mid Tower,White / Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Rosewill FBM-X2-400-HELIX,59.99,MicroATX Mini Tower,Black,Tempered Glass,25.3,"Micro ATX, Mini ITX",330,155,ATX
Deepcool CH690 DIGITAL,124.99,ATX Mid Tower,Black,Tempered Glass,107.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG PANO 100L PZ,129.99,ATX Mid Tower,White,Tempered Glass,72.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo D300,124.99,MicroATX Mid Tower,Black,Tempered Glass,45.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
be quiet! Light Base 600 DX,152.85,ATX Mid Tower,White,Tempered Glass,59.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG VAMPIRIC 100R,86.2,ATX Mid Tower,Black,Tempered Glass,36.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Razer Tomahawk Mini-ITX,179.99,Mini ITX Tower,Black / Green,Tinted Tempered Glass,42.8,Mini ITX,300,140,SFX
Razer Tomahawk ATX,219.98,ATX Mid Tower,Black,Tinted Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT S340,124.99,ATX Mid Tower,White,Acrylic,38.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
BitFenix FLOW,124.99,ATX Mid Tower,Black,Tempered Glass,42.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Silverstone SG05-LITE,75.05,Mini ITX Desktop,Black,Tempered Glass,10.7,Mini ITX,300,140,SFX
Gigabyte AORUS C500 GLASS,124.99,ATX Mid Tower,Black,Tempered Glass,116.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Asus TUF Gaming GT502 Plus,124.99,ATX Mid Tower,Black,Tempered Glass,57.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11D XL-W,124.99,ATX Full Tower,White / Black,Tempered Glass,68.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Rosewill Helium Flow,79.98,ATX Mid Tower,Black,Tempered Glass,50.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Silverstone SETA D1,169.7,ATX Mid Tower,Black,Tempered Glass,56.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North XL RC,194.99,ATX Full Tower,White,Tempered Glass,61.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Core P3 TG Pro,140.71,ATX Mid Tower,Black,Tempered Glass,71.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Silverstone SUGO 15,181.04,Mini ITX Desktop,Black,Tempered Glass,19.1,Mini ITX,300,140,SFX
In Win Chopin MAX,124.99,Mini ITX Desktop,Gray,Mesh,4.4,Mini ITX,300,140,SFX
Apevia PRISM,79.98,MicroATX Mid Tower,White,Tempered Glass,35.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
