name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
Thermaltake The Tower 100,124.99,Mini ITX Tower,Black,Tempered Glass,32.7,Mini ITX,300,140,SFX
Vetroo AL800,59.99,ATX Mid Tower,Green,Tempered Glass,46.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair Obsidian 500D RGB SE,124.99,ATX Mid Tower,Black,Tinted Tempered Glass,59.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT S340 Elite,124.99,ATX Mid Tower,Black,Tempered Glass,41.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec VSK3000B U3,124.99,MicroATX Mini Tower,Black,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
Mars Gaming MC-3TCORE,124.99,ATX Mid Tower,White,Tempered Glass,50.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Anidees AI Crystal XL AR 3,124.99,ATX Full Tower,Black,Tempered Glass,86.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
FormD T1 V2.1 Aluminum Coated,124.99,Mini ITX Desktop,Black,Mesh,42.8,Mini ITX,300,140,SFX
Corsair 3500X CALL OF DUTY BLACK OPS 6 EDITION,99.99,ATX Mid Tower,Black / Orange,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify 3 XL RGB,189.99,ATX Full Tower,Black,Tinted Tempered Glass,72.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks Eclipse G300A (3 Fan),124.99,ATX Mid Tower,Black,Tempered Glass,37.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Apevia Prism Elite,109.99,ATX Mid Tower,Pink,Tempered Glass,47.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
